id,nome,tamanho,fileUrl,fileKey,status,tabelas,totalRegistros,geradoPor,downloadedAt,downloadedBy,createdAt
1,backup-pdi-2026-01-26T02-02-01-711Z.sql,114355,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/Uksxtg83ZJDkZPJL3fCmwT/backups/backup-pdi-2026-01-26T02-02-01-711Z.sql,backups/backup-pdi-2026-01-26T02-02-01-711Z.sql,concluido,,300,150008,2026-01-26 02:02:40,,2026-01-26 02:02:02
30001,backup-pdi-2026-01-26T19-00-16-926Z.sql,124913,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/Uksxtg83ZJDkZPJL3fCmwT/backups/backup-pdi-2026-01-26T19-00-16-926Z.sql,backups/backup-pdi-2026-01-26T19-00-16-926Z.sql,concluido,,321,150008,2026-01-26 19:00:23,,2026-01-26 19:00:17
60001,backup-pdi-2026-01-28T13-03-18-418Z.sql,128051,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/Uksxtg83ZJDkZPJL3fCmwT/backups/backup-pdi-2026-01-28T13-03-18-418Z.sql,backups/backup-pdi-2026-01-28T13-03-18-418Z.sql,concluido,,327,1,2026-02-25 19:57:46,,2026-01-28 13:03:18
90001,backup-pdi-2026-01-28T19-11-20-132Z.sql,128081,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/Uksxtg83ZJDkZPJL3fCmwT/backups/backup-pdi-2026-01-28T19-11-20-132Z.sql,backups/backup-pdi-2026-01-28T19-11-20-132Z.sql,concluido,,327,1,2026-02-25 19:57:44,,2026-01-28 19:11:20
120001,backup-pdi-2026-01-30T16-53-22-730Z.sql,109440,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/Uksxtg83ZJDkZPJL3fCmwT/backups/backup-pdi-2026-01-30T16-53-22-730Z.sql,backups/backup-pdi-2026-01-30T16-53-22-730Z.sql,concluido,,301,1,2026-02-25 19:57:42,,2026-01-30 16:53:22
150001,backup-pdi-2026-02-03T00-20-38-245Z.sql,501066,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/Uksxtg83ZJDkZPJL3fCmwT/backups/backup-pdi-2026-02-03T00-20-38-245Z.sql,backups/backup-pdi-2026-02-03T00-20-38-245Z.sql,concluido,,675,1,2026-02-03 12:38:02,,2026-02-03 00:20:38
180001,backup-pdi-2026-02-06T21-17-27-498Z.sql,751890,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/Uksxtg83ZJDkZPJL3fCmwT/backups/backup-pdi-2026-02-06T21-17-27-498Z.sql,backups/backup-pdi-2026-02-06T21-17-27-498Z.sql,concluido,,1003,1,2026-02-06 21:17:43,,2026-02-06 21:17:28
210001,backup-pdi-2026-02-07T22-21-02-873Z.sql,760184,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/Uksxtg83ZJDkZPJL3fCmwT/backups/backup-pdi-2026-02-07T22-21-02-873Z.sql,backups/backup-pdi-2026-02-07T22-21-02-873Z.sql,concluido,,1021,1,2026-02-09 18:55:13,,2026-02-07 22:21:03
240001,backup-pdi-2026-02-12T16-14-15-088Z.sql,791105,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/Uksxtg83ZJDkZPJL3fCmwT/backups/backup-pdi-2026-02-12T16-14-15-088Z.sql,backups/backup-pdi-2026-02-12T16-14-15-088Z.sql,concluido,,1070,1,2026-02-25 19:57:40,,2026-02-12 16:14:15
270001,backup-pdi-2026-02-12T21-32-02-594Z.sql,802543,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/Uksxtg83ZJDkZPJL3fCmwT/backups/backup-pdi-2026-02-12T21-32-02-594Z.sql,backups/backup-pdi-2026-02-12T21-32-02-594Z.sql,concluido,,1090,1,2026-02-12 21:32:15,,2026-02-12 21:32:03
270002,backup-pdi-2026-02-12T21-40-20-570Z.sql,805216,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/Uksxtg83ZJDkZPJL3fCmwT/backups/backup-pdi-2026-02-12T21-40-20-570Z.sql,backups/backup-pdi-2026-02-12T21-40-20-570Z.sql,concluido,,1098,1,2026-02-12 21:40:31,,2026-02-12 21:40:20
270003,backup-pdi-2026-02-12T21-56-14-764Z.csv,890720,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/Uksxtg83ZJDkZPJL3fCmwT/backups/backup-pdi-2026-02-12T21-56-14-764Z.csv,backups/backup-pdi-2026-02-12T21-56-14-764Z.csv,concluido,,1411,1,2026-02-12 21:56:24,,2026-02-12 21:56:16
270004,backup-pdi-2026-02-12T22-04-34-046Z.csv,1257807,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/Uksxtg83ZJDkZPJL3fCmwT/backups/backup-pdi-2026-02-12T22-04-34-046Z.csv,backups/backup-pdi-2026-02-12T22-04-34-046Z.csv,concluido,,1775,1,2026-02-25 19:57:55,,2026-02-12 22:04:36
300001,backup-pdi-2026-02-13T15-17-33-242Z.csv,1284076,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/Uksxtg83ZJDkZPJL3fCmwT/backups/backup-pdi-2026-02-13T15-17-33-242Z.csv,backups/backup-pdi-2026-02-13T15-17-33-242Z.csv,concluido,,1798,1,2026-02-25 19:57:51,,2026-02-13 15:17:33
330001,backup-pdi-2026-02-25T19-57-31-945Z.csv,1431003,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/Uksxtg83ZJDkZPJL3fCmwT/backups/backup-pdi-2026-02-25T19-57-31-945Z.csv,backups/backup-pdi-2026-02-25T19-57-31-945Z.csv,concluido,,1956,1,2026-02-25 19:57:49,,2026-02-25 19:57:33
360001,backup-pdi-2026-03-05T21-06-40-290Z.csv,2111418,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/Uksxtg83ZJDkZPJL3fCmwT/backups/backup-pdi-2026-03-05T21-06-40-290Z.csv,backups/backup-pdi-2026-03-05T21-06-40-290Z.csv,concluido,,2472,1,2026-03-05 21:06:47,,2026-03-05 21:06:41
390001,backup-pdi-2026-03-22T17-07-07-187Z.csv,3432035,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/Uksxtg83ZJDkZPJL3fCmwT/backups/backup-pdi-2026-03-22T17-07-07-187Z.csv,backups/backup-pdi-2026-03-22T17-07-07-187Z.csv,concluido,,3592,1,2026-03-22 17:07:17,,2026-03-22 17:07:07
420001,backup-pdi-2026-03-25T19-35-21-339Z.csv,3780889,https://d2xsxph8kpxj0f.cloudfront.net/310519663192322263/Uksxtg83ZJDkZPJL3fCmwT/backups/backup-pdi-2026-03-25T19-35-21-339Z.csv,backups/backup-pdi-2026-03-25T19-35-21-339Z.csv,concluido,,3799,1,,,2026-03-25 19:35:23
