id,pdiId,liderId,aprovadoEm,justificativa,createdAt
120001,1050002,1350001,2026-01-30 16:35:17,,2026-01-30 16:35:17
150001,1020090,1410001,2026-02-03 21:37:53,,2026-02-03 21:37:53
180001,1170164,1260006,2026-02-06 20:17:10,,2026-02-06 20:17:10
180002,1170155,1260001,2026-02-06 20:17:44,,2026-02-06 20:17:44
210001,1200003,1260007,2026-02-12 00:03:39,,2026-02-12 00:03:39
210002,1110052,1260019,2026-02-12 00:04:25,,2026-02-12 00:04:25
210003,1200001,1260001,2026-02-12 00:04:56,,2026-02-12 00:04:56
240001,1020034,1410001,2026-02-13 15:23:02,,2026-02-13 15:23:02
240002,1110045,1410001,2026-02-13 15:23:13,,2026-02-13 15:23:13
240003,1110001,1410001,2026-02-13 15:23:29,,2026-02-13 15:23:29
240004,1080003,1410001,2026-02-13 15:24:14,,2026-02-13 15:24:14
240005,1080003,1410001,2026-02-13 15:24:17,,2026-02-13 15:24:17
240006,1050001,1410001,2026-02-13 15:24:18,,2026-02-13 15:24:18
240007,1020100,1410001,2026-02-13 15:24:21,,2026-02-13 15:24:21
240008,1020095,1410001,2026-02-13 15:24:25,,2026-02-13 15:24:25
240009,1020098,1410001,2026-02-13 15:24:28,,2026-02-13 15:24:28
240010,1020092,1410001,2026-02-13 15:24:28,,2026-02-13 15:24:28
270001,1020032,1260008,2026-02-19 13:00:11,,2026-02-19 13:00:11
270002,1020041,1260010,2026-02-19 14:35:12,,2026-02-19 14:35:12
300001,1020033,1290067,2026-02-19 18:51:20,,2026-02-19 18:51:20
330001,1020043,1260010,2026-02-24 13:04:06,,2026-02-24 13:04:06
330002,1020042,1260010,2026-02-24 13:04:11,,2026-02-24 13:04:11
360001,1020058,1260015,2026-02-26 17:29:07,,2026-02-26 17:29:07
360002,1020054,1260015,2026-02-26 17:40:40,,2026-02-26 17:40:40
390001,1020001,1260012,2026-03-02 00:04:19,,2026-03-02 00:04:19
420001,1020031,1260008,2026-03-02 15:02:43,,2026-03-02 15:02:43
420002,1020030,1260008,2026-03-02 15:02:52,,2026-03-02 15:02:52
420003,1020029,1260008,2026-03-02 15:02:58,,2026-03-02 15:02:58
420004,1020028,1260008,2026-03-02 15:03:10,,2026-03-02 15:03:10
450001,1020009,1260002,2026-03-02 16:27:10,,2026-03-02 16:27:10
480001,1080004,1260004,2026-03-02 19:58:12,,2026-03-02 19:58:12
480002,1020021,1260004,2026-03-02 19:58:39,,2026-03-02 19:58:39
480003,1020019,1260004,2026-03-02 19:58:48,,2026-03-02 19:58:48
480004,1020022,1260004,2026-03-02 19:58:55,,2026-03-02 19:58:55
480005,1020018,1260004,2026-03-02 19:59:19,,2026-03-02 19:59:19
480006,1020006,1260004,2026-03-02 19:59:34,,2026-03-02 19:59:34
480007,1020020,1260004,2026-03-02 19:59:45,,2026-03-02 19:59:45
480008,1170090,1260012,2026-03-02 20:48:18,,2026-03-02 20:48:18
510001,1170115,1260015,2026-03-04 12:41:13,,2026-03-04 12:41:13
510002,1020055,1260015,2026-03-04 13:13:51,,2026-03-04 13:13:51
510003,1020057,1260015,2026-03-04 13:18:11,,2026-03-04 13:18:11
510004,1020059,1260015,2026-03-04 13:27:00,,2026-03-04 13:27:00
510005,1020056,1260015,2026-03-04 13:41:31,,2026-03-04 13:41:31
540001,1020005,1260001,2026-03-04 17:18:06,,2026-03-04 17:18:06
540002,1020004,1260001,2026-03-04 17:18:14,,2026-03-04 17:18:14
570001,1020089,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570002,1020091,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570003,1020093,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570004,1020094,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570005,1020096,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570006,1020097,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570007,1020099,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570008,1050003,1350003,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570009,1110003,1260006,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570010,1110014,1290061,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570011,1110046,1260011,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570012,1110050,1410001,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570013,1110051,1260005,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570014,1170004,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570015,1170005,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570016,1170006,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570017,1170007,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570018,1170008,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570019,1170009,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570020,1170010,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570021,1170011,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570022,1170012,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570023,1170014,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570024,1170015,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570025,1170016,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570026,1170017,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570027,1170018,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570028,1170019,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570029,1170020,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570030,1170021,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570031,1170022,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570032,1170083,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570033,1170089,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570034,1170152,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
570035,1170153,1,2026-03-05 13:11:16,Validação automática — PDI de líder não requer aprovação do superior hierárquico,2026-03-05 13:11:16
600001,1170088,1290067,2026-03-09 20:21:10,,2026-03-09 20:21:10
630001,1020007,1260003,2026-03-10 19:02:01,,2026-03-10 19:02:01
660001,1020027,1260007,2026-03-12 18:50:33,,2026-03-12 18:50:33
660002,1020026,1260007,2026-03-12 18:51:08,,2026-03-12 18:51:08
660003,1020025,1260007,2026-03-12 18:51:20,,2026-03-12 18:51:20
690001,1170031,1260002,2026-03-16 20:24:42,,2026-03-16 20:24:42
690002,1170039,1260002,2026-03-16 20:41:03,,2026-03-16 20:41:03
690003,1020014,1260002,2026-03-16 20:47:04,,2026-03-16 20:47:04
720001,1170038,1260002,2026-03-18 17:35:25,,2026-03-18 17:35:25
750001,1170023,1260001,2026-03-19 18:38:13,,2026-03-19 18:38:13
750002,1170026,1260001,2026-03-19 18:38:36,,2026-03-19 18:38:36
750003,1170025,1260001,2026-03-19 18:38:46,,2026-03-19 18:38:46
780001,1020013,1260002,2026-03-20 11:18:08,,2026-03-20 11:18:08
780002,1170035,1260002,2026-03-20 11:18:18,,2026-03-20 11:18:18
780003,1170075,1260009,2026-03-20 12:33:00,,2026-03-20 12:33:00
780004,1170074,1260009,2026-03-20 12:33:03,,2026-03-20 12:33:03
780005,1170073,1260009,2026-03-20 12:33:06,,2026-03-20 12:33:06
780006,1170072,1260009,2026-03-20 12:33:09,,2026-03-20 12:33:09
780007,1170071,1260009,2026-03-20 12:33:12,,2026-03-20 12:33:12
780008,1170070,1260009,2026-03-20 12:33:13,,2026-03-20 12:33:13
780009,1170069,1260009,2026-03-20 12:33:23,,2026-03-20 12:33:23
780010,1020037,1260009,2026-03-20 12:33:28,,2026-03-20 12:33:28
780011,1020039,1260009,2026-03-20 12:33:36,,2026-03-20 12:33:36
780012,1020036,1260009,2026-03-20 12:33:40,,2026-03-20 12:33:40
780013,1020038,1260009,2026-03-20 12:33:42,,2026-03-20 12:33:42
810001,1170047,1260004,2026-03-24 11:50:00,,2026-03-24 11:50:00
810002,1170047,1260004,2026-03-24 11:50:08,,2026-03-24 11:50:08
810003,1020012,1260002,2026-03-24 13:00:22,,2026-03-24 13:00:22
